"","position","team","round"
"1",1,"sao-paulo",1
"2",2,"coritiba",1
"3",3,"corinthians",1
"4",4,"atletico-mineiro",1
"5",5,"ceara",1
"6",6,"cuiaba",1
"7",7,"avai",1
"8",8,"juventude",1
"9",9,"red-bull-bragantino",1
"10",10,"atletico-goianiense",1
"11",11,"flamengo",1
"12",12,"santos",1
"13",13,"fluminense",1
"14",14,"palmeiras",1
"15",15,"fortaleza",1
"16",16,"america-mineiro",1
"17",17,"botafogo",1
"18",18,"internacional",1
"19",19,"goias",1
"20",20,"athletico-paranaense",1
"21",1,"corinthians",2
"22",2,"atletico-mineiro",2
"23",3,"red-bull-bragantino",2
"24",4,"flamengo",2
"25",5,"santos",2
"26",6,"fluminense",2
"27",7,"sao-paulo",2
"28",8,"america-mineiro",2
"29",9,"coritiba",2
"30",10,"botafogo",2
"31",11,"cuiaba",2
"32",12,"ceara",2
"33",13,"internacional",2
"34",14,"avai",2
"35",15,"palmeiras",2
"36",16,"juventude",2
"37",17,"goias",2
"38",18,"atletico-goianiense",2
"39",19,"fortaleza",2
"40",20,"athletico-paranaense",2
"41",1,"santos",3
"42",2,"atletico-mineiro",3
"43",3,"corinthians",3
"44",4,"cuiaba",3
"45",5,"ceara",3
"46",6,"internacional",3
"47",7,"avai",3
"48",8,"red-bull-bragantino",3
"49",9,"palmeiras",3
"50",10,"sao-paulo",3
"51",11,"coritiba",3
"52",12,"flamengo",3
"53",13,"botafogo",3
"54",14,"fluminense",3
"55",15,"america-mineiro",3
"56",16,"athletico-paranaense",3
"57",17,"atletico-goianiense",3
"58",18,"goias",3
"59",19,"juventude",3
"60",20,"fortaleza",3
"61",1,"corinthians",4
"62",2,"red-bull-bragantino",4
"63",3,"atletico-mineiro",4
"64",4,"coritiba",4
"65",5,"sao-paulo",4
"66",6,"santos",4
"67",7,"cuiaba",4
"68",8,"internacional",4
"69",9,"avai",4
"70",10,"america-mineiro",4
"71",11,"ceara",4
"72",12,"palmeiras",4
"73",13,"flamengo",4
"74",14,"botafogo",4
"75",15,"fluminense",4
"76",16,"athletico-paranaense",4
"77",17,"atletico-goianiense",4
"78",18,"goias",4
"79",19,"juventude",4
"80",20,"fortaleza",4
"81",1,"corinthians",5
"82",2,"santos",5
"83",3,"avai",5
"84",4,"america-mineiro",5
"85",5,"red-bull-bragantino",5
"86",6,"sao-paulo",5
"87",7,"atletico-mineiro",5
"88",8,"botafogo",5
"89",9,"internacional",5
"90",10,"coritiba",5
"91",11,"cuiaba",5
"92",12,"ceara",5
"93",13,"athletico-paranaense",5
"94",14,"palmeiras",5
"95",15,"flamengo",5
"96",16,"fluminense",5
"97",17,"goias",5
"98",18,"juventude",5
"99",19,"atletico-goianiense",5
"100",20,"fortaleza",5
"101",1,"corinthians",6
"102",2,"sao-paulo",6
"103",3,"atletico-mineiro",6
"104",4,"botafogo",6
"105",5,"santos",6
"106",6,"coritiba",6
"107",7,"avai",6
"108",8,"america-mineiro",6
"109",9,"palmeiras",6
"110",10,"internacional",6
"111",11,"red-bull-bragantino",6
"112",12,"fluminense",6
"113",13,"goias",6
"114",14,"ceara",6
"115",15,"cuiaba",6
"116",16,"athletico-paranaense",6
"117",17,"flamengo",6
"118",18,"juventude",6
"119",19,"atletico-goianiense",6
"120",20,"fortaleza",6
"121",1,"corinthians",7
"122",2,"palmeiras",7
"123",3,"sao-paulo",7
"124",4,"atletico-mineiro",7
"125",5,"botafogo",7
"126",6,"santos",7
"127",7,"fluminense",7
"128",8,"coritiba",7
"129",9,"america-mineiro",7
"130",10,"avai",7
"131",11,"internacional",7
"132",12,"athletico-paranaense",7
"133",13,"red-bull-bragantino",7
"134",14,"flamengo",7
"135",15,"ceara",7
"136",16,"goias",7
"137",17,"cuiaba",7
"138",18,"atletico-goianiense",7
"139",19,"juventude",7
"140",20,"fortaleza",7
"141",1,"palmeiras",8
"142",2,"atletico-mineiro",8
"143",3,"corinthians",8
"144",4,"coritiba",8
"145",5,"sao-paulo",8
"146",6,"athletico-paranaense",8
"147",7,"botafogo",8
"148",8,"flamengo",8
"149",9,"santos",8
"150",10,"america-mineiro",8
"151",11,"fluminense",8
"152",12,"internacional",8
"153",13,"avai",8
"154",14,"red-bull-bragantino",8
"155",15,"ceara",8
"156",16,"goias",8
"157",17,"cuiaba",8
"158",18,"atletico-goianiense",8
"159",19,"juventude",8
"160",20,"fortaleza",8
"161",1,"corinthians",9
"162",2,"palmeiras",9
"163",3,"atletico-mineiro",9
"164",4,"coritiba",9
"165",5,"america-mineiro",9
"166",6,"sao-paulo",9
"167",7,"internacional",9
"168",8,"athletico-paranaense",9
"169",9,"santos",9
"170",10,"botafogo",9
"171",11,"flamengo",9
"172",12,"goias",9
"173",13,"fluminense",9
"174",14,"avai",9
"175",15,"red-bull-bragantino",9
"176",16,"ceara",9
"177",17,"juventude",9
"178",18,"cuiaba",9
"179",19,"atletico-goianiense",9
"180",20,"fortaleza",9
"181",1,"palmeiras",10
"182",2,"corinthians",10
"183",3,"athletico-paranaense",10
"184",4,"atletico-mineiro",10
"185",5,"coritiba",10
"186",6,"sao-paulo",10
"187",7,"internacional",10
"188",8,"fluminense",10
"189",9,"america-mineiro",10
"190",10,"santos",10
"191",11,"red-bull-bragantino",10
"192",12,"ceara",10
"193",13,"goias",10
"194",14,"flamengo",10
"195",15,"botafogo",10
"196",16,"avai",10
"197",17,"cuiaba",10
"198",18,"atletico-goianiense",10
"199",19,"juventude",10
"200",20,"fortaleza",10
"201",1,"palmeiras",11
"202",2,"corinthians",11
"203",3,"sao-paulo",11
"204",4,"internacional",11
"205",5,"athletico-paranaense",11
"206",6,"atletico-mineiro",11
"207",7,"coritiba",11
"208",8,"fluminense",11
"209",9,"america-mineiro",11
"210",10,"avai",11
"211",11,"santos",11
"212",12,"red-bull-bragantino",11
"213",13,"ceara",11
"214",14,"goias",11
"215",15,"atletico-goianiense",11
"216",16,"flamengo",11
"217",17,"botafogo",11
"218",18,"cuiaba",11
"219",19,"juventude",11
"220",20,"fortaleza",11
"221",1,"palmeiras",12
"222",2,"corinthians",12
"223",3,"internacional",12
"224",4,"athletico-paranaense",12
"225",5,"sao-paulo",12
"226",6,"atletico-mineiro",12
"227",7,"avai",12
"228",8,"santos",12
"229",9,"red-bull-bragantino",12
"230",10,"flamengo",12
"231",11,"fluminense",12
"232",12,"coritiba",12
"233",13,"america-mineiro",12
"234",14,"botafogo",12
"235",15,"ceara",12
"236",16,"goias",12
"237",17,"atletico-goianiense",12
"238",18,"cuiaba",12
"239",19,"juventude",12
"240",20,"fortaleza",12
"241",1,"palmeiras",13
"242",2,"corinthians",13
"243",3,"athletico-paranaense",13
"244",4,"atletico-mineiro",13
"245",5,"internacional",13
"246",6,"fluminense",13
"247",7,"botafogo",13
"248",8,"santos",13
"249",9,"sao-paulo",13
"250",10,"red-bull-bragantino",13
"251",11,"avai",13
"252",12,"atletico-goianiense",13
"253",13,"ceara",13
"254",14,"flamengo",13
"255",15,"coritiba",13
"256",16,"america-mineiro",13
"257",17,"goias",13
"258",18,"cuiaba",13
"259",19,"fortaleza",13
"260",20,"juventude",13
"261",1,"palmeiras",14
"262",2,"corinthians",14
"263",3,"athletico-paranaense",14
"264",4,"internacional",14
"265",5,"atletico-mineiro",14
"266",6,"fluminense",14
"267",7,"santos",14
